N,Grupo,Metrica,T1_OP1,T1_OP2,T2_OP1,T2_OP2
32,FLOPS_DP,FLOPS_DP,0.0,0.0,0.0,0.0
32,CACHE,CACHE,0.0,0.0,0.0,0.0
64,FLOPS_DP,FLOPS_DP,0.0,0.0,0.0,0.0
64,CACHE,CACHE,0.0,0.0,0.0,0.0
128,FLOPS_DP,FLOPS_DP,0.0,0.0,0.0,0.0
128,CACHE,CACHE,0.0,0.0,0.0,0.0
256,FLOPS_DP,FLOPS_DP,0.0,0.0,0.0,0.0
256,CACHE,CACHE,0.0,0.0,0.0,0.0
512,FLOPS_DP,FLOPS_DP,0.0,0.0,0.0,0.0
512,CACHE,CACHE,0.0,0.0,0.0,0.0
1000,FLOPS_DP,FLOPS_DP,0.0,0.0,0.0,0.0
1000,CACHE,CACHE,0.0,0.0,0.0,0.0
2000,FLOPS_DP,FLOPS_DP,0.0,0.0,0.0,0.0
2000,CACHE,CACHE,0.0,0.0,0.0,0.0
4000,FLOPS_DP,FLOPS_DP,0.0,0.0,0.0,0.0
4000,CACHE,CACHE,0.0,0.0,0.0,0.0
8000,FLOPS_DP,FLOPS_DP,0.0,0.0,0.0,0.0
8000,CACHE,CACHE,0.0,0.0,0.0,0.0
9000,FLOPS_DP,FLOPS_DP,0.0,0.0,0.0,0.0
9000,CACHE,CACHE,0.0,0.0,0.0,0.0
10000,FLOPS_DP,FLOPS_DP,0.0,0.0,0.0,0.0
10000,CACHE,CACHE,0.0,0.0,0.0,0.0
20000,FLOPS_DP,FLOPS_DP,0.0,0.0,0.0,0.0
20000,CACHE,CACHE,0.0,0.0,0.0,0.0
