N,T1_Iter_ms,T2_Iter_ms,Speedup_Iter,T1_Res_ms,T2_Res_ms,Speedup_Res
32,0.0028471601,0.00044,6.47082,0.0025459975,0.00020800531,12.2401
64,0.01528536,0.00072339922,21.1299,0.014621995,0.00022999942,63.5741
128,0.05734324,0.00098779947,58.0515,0.055834003,0.00048200041,115.838
256,0.21580796,0.0020084009,107.453,0.236934,0.00095699728,247.581
512,0.72435692,0.0034843996,207.886,0.574316,0.0014270023,402.463
1000,2.0775715,0.0072464004,286.704,2.110846,0.0021639988,975.438
2000,8.4102501,0.014399,584.086,8.177493,0.0041530058,1969.05
4000,33.071033,0.031448601,1051.59,32.887588,0.011727996,2804.2
8000,132.35043,0.069828799,1895.36,131.61005,0.032779999,4014.95
9000,167.18735,0.0762518,2192.57,166.3122,0.039154001,4247.64
10000,208.55833,0.086404201,2413.75,207.64264,0.045491003,4564.48
20000,823.28418,0.2109792,3902.21,827.24637,0.120975,6838.16
