N,Grupo,Metrica,T1_OP1,T1_OP2,T2_OP1,T2_OP2
32,FLOPS_DP,DP MFLOP/s (AVX assumed),2003.1146,1483.5312,2333.3852,2052.3
32,CACHE,miss ratio,0.0011,0.0233,0.0589,0.1057
64,FLOPS_DP,DP MFLOP/s (AVX assumed),2465.7571,2094.388,4410.0433,4195.8489
64,CACHE,miss ratio,0.0008,0.007,0.0411,0.0937
128,FLOPS_DP,DP MFLOP/s (AVX assumed),2296.6324,2776.9599,3656.4583,3996.2739
128,CACHE,miss ratio,0.0004,0.0021,0.0288,0.0799
256,FLOPS_DP,DP MFLOP/s (AVX assumed),2175.8256,2453.1852,5630.8827,6776.2798
256,CACHE,miss ratio,0.0002,0.0005,0.0148,0.0473
512,FLOPS_DP,DP MFLOP/s (AVX assumed),2640.5319,2254.2624,6725.5627,8585.4626
512,CACHE,miss ratio,0.0001,0.0002,0.0109,0.0331
1000,FLOPS_DP,DP MFLOP/s (AVX assumed),2601.3673,2668.7747,7036.2336,9126.0847
1000,CACHE,miss ratio,0.0001,0.0001,0.01,0.0273
2000,FLOPS_DP,DP MFLOP/s (AVX assumed),2503.3929,2686.2935,7306.1504,6602.8954
2000,CACHE,miss ratio,0.0001,0.0001,0.0054,0.014
4000,FLOPS_DP,DP MFLOP/s (AVX assumed),2742.5951,2705.1508,6684.7065,9235.5021
4000,CACHE,miss ratio,0.0001,0.0001,0.0035,0.0079
8000,FLOPS_DP,DP MFLOP/s (AVX assumed),0.0,0.0,5281.9477,9993.7324
8000,CACHE,miss ratio,0.0,0.0,0.0089,0.0044
9000,FLOPS_DP,DP MFLOP/s (AVX assumed),0.0,0.0,5861.9207,7875.1662
9000,CACHE,miss ratio,0.0,0.0,0.0019,0.0038
10000,FLOPS_DP,DP MFLOP/s (AVX assumed),0.0,0.0,7163.8377,7814.8009
10000,CACHE,miss ratio,0.0,0.0,0.0123,0.0062
20000,FLOPS_DP,DP MFLOP/s (AVX assumed),0.0,0.0,8060.7058,7174.2169
20000,CACHE,miss ratio,0.0,0.0,0.002,0.0026
